IND;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
250028;Minister of Armament;Jyoti Basu;1939;1964;1999;PA;Administrative Genius;Very High;M59021;X
250029;Minister of Armament;Muhammed Ali Bogra;1944;1964;1999;PA;Air to Sea Proponent;Medium;M59067;X
250030;Minister of Armament;Iskander Mirza;1933;1964;1999;PA;Infantry Proponent;Medium;M59014;X
250031;Minister of Security;Bhimrao Ramji Ambedkar;1941;1964;1999;SD;Man of the People;Very High;M59025;X
250032;Minister of Security;Harilal J. Kania;1933;1964;1999;SL;Silent Lawyer;Low;M59070;X
250033;Minister of Security;Sir Henry Gidney;1942;1964;1999;SL;Compassionate Gentleman;Very High;M59071;X
250034;Head of Military Intelligence;Rafi Ahmed Kidwai;1943;1964;1999;SD;Dismal Enigma;Medium;M59068;X
250035;Head of Military Intelligence;Sir Chhotu Ram;1933;1964;1999;SL;Industrial Specialist;High;M59026;X
250036;Head of Military Intelligence;Jehangir Bhabha Homi;1943;1964;1999;SL;Technical Specialist;Very High;M59079;X
250037;Head of Military Intelligence;Sir Bwahadur Kandra;1933;1964;1999;ML;Industrial Specialist;Medium;M59083;X
250038;Head of Military Intelligence;Rashbehari Basu;1939;1964;1999;PA;Logistics Specialist;Very High;M59016;X
250039;Head of Military Intelligence;Abdul Majeed Khwaja;1945;1964;1999;PA;Dismal Enigma;Medium;M59087;X
250040;Chief of Staff;Subhas Chandra Bose;1933;1964;1999;LWR;School of Psychology;Medium;M59011;X
250041;Chief of Staff;Ananthasayanam Ayyangar;1943;1964;1999;SD;School of Defence;High;M59044;X
250042;Chief of Staff;Sardar Baldev Singh;1941;1964;1999;SL;School of Psychology;Medium;M59092;X
250043;Chief of Staff;Kodandera Cariappa;1945;1964;1999;SL;School of Fire Support;High;M59093;X
250044;Chief of Staff;Kodandera Thimayya;1942;1964;1999;ML;School of Defence;Low;M59095;X
250045;Chief of Staff;Shah Nawaz Khan;1943;1964;1999;PA;School of Manoeuvre;Very High;M59017;X
250046;Chief of Staff;Rajendra Prasad;1933;1964;1999;ML;School of Defence;Low;M59031;X
250047;Chief of Army;Mohan Singh;1941;1964;1999;SD;Decisive Battle Doctrine;Very Low;M59028;X
250048;Chief of Army;Kodandera Cariappa;1933;1964;1999;SL;Elastic Defence Doctrine;Low;M59093;X
250049;Chief of Army;Nabob Kureishi of Bahawalpur;1933;1964;1999;PA;Static Defence Doctrine;Medium;M59040;X
250050;Chief of Navy;Ram Dass Katari;1947;1964;1999;SL;Power Projection Doctrine;Medium;M59019;X
250051;Chief of Navy;Harinder Singh;1946;1964;1999;PA;Indirect Approach Doctrine;Medium;M59112;X
250052;Chief of Air Force;Subroto Mukherjee;1946;1964;1999;SD;Army Aviation Doctrine;medium;M59115;X
250053;Chief of Air Force;Aspy Merwan Engineer;1943;1964;1999;SL;Naval Aviation Doctrine;medium;M59117;X
250054;Chief of Air Force;Ravindra Darshan Singh;1933;1964;1999;PA;Carpet Bombing Doctrine;High;M59118;X
250055;Chief of Air Force;Mehar Singh;1933;1964;1999;SL;Army Aviation Doctrine;medium;M59114;X
250056;Head of State;Rajendra Prasad;1933;1964;1999;SL;Weary Stiffneck;High;M59031;X
250057;Foreign Minister;Yeshwant Rao II of Indore;1941;1964;1999;PA;Iron Fisted Brute;Medium;9911;X
250058;Minister of Armament;H.H. Buland of Kishangarh;1942;1964;1999;PA;Air to Ground Proponent;Very High;M59123;X
250059;Minister of Security;Ali Khan III of Banganapalle;1933;1964;1999;PA;Prince of Terror;Very High;M59124;X
250060;Minister of Security;H.H. Waghji of Morvi;1944;1964;1999;PA;Compassionate Gentleman;Very High;M59125;X
250061;Head of Military Intelligence;H.H. Tashi of Sikkim;1933;1964;1999;PA;Political Specialist;Medium;9912;X
250062;Head of State;Chakravarti Rajagopalachari;1948;1964;1999;SD;Die-hard Reformer;High;9913;X
250063;Foreign Minister;Ganesh Mavalankar;1952;1964;1999;SD;Great Compromiser;High;M59129;X
250064;Minister of Security;Sarvepalli Radhakrishnan;1951;1964;1999;SD;Compassionate Gentleman;Very High;9914;X
250065;Minister of Armament;Mohan Singh;1949;1964;1999;PA;Laissez-Faire Capitalist;High;6089;x
250066;Chief of Staff;Mohan Singh;1949;1964;1999;PA;School of Mass Combat;High;6089;x
250067;Minister of Security;Vinayak Damodar Savarkar;1947;1964;1999;SD;Silent Lawyer;High;6090;x
250068;Minister of Security;Madhav S. Golwalkar;1940;1964;1999;FA;Silent Lawyer;High;8543;x
250069;Head of State;Subhas Chandra Bose;1941;1964;1999;FA;Resigned Generalissimo;High;M59011;X
250070;Head of Government;Subhas Chandra Bose;1936;1964;1999;FA;Naive Optimist;High;M59011;X
251001;Head of State;Rajendra Prasad;1933;1964;1999;SD;Indian Constituent President;High;INDM_RAJENDRA;X
251002;Head of Government;Jawaharlal Nehru;1933;1964;1999;SD;Nehruvian National Planner;High;INDM_NEHRU;X
251003;Foreign Minister;Jawaharlal Nehru;1933;1964;1999;SD;Nehruvian Internationalist;High;INDM_NEHRU;X
251004;Minister of Armament;Vallabhbhai Patel;1933;1964;1999;SD;Patelian National Organizer;High;INDM_PATEL;X
251005;Minister of Security;B. R. Ambedkar;1933;1964;1999;SD;Ambedkarite Social Justice;High;INDM_AMBEDKAR;X
251006;Head of Military Intelligence;Rafi Ahmed Kidwai;1933;1964;1999;SD;Civic Intelligence Coordinator;High;INDM_KIDWAI;X
251007;Chief of Staff;K. M. Cariappa;1933;1964;1999;SD;Professional General Staff;High;INDM_CARIAPPA;X
251008;Chief of Army;K. M. Cariappa;1933;1964;1999;SD;Indian Army Reformer;High;INDM_CARIAPPA;X
251009;Chief of Navy;Ram Dass Katari;1933;1964;1999;SD;Indian Ocean Fleet Architect;High;INDM_KATARI;X
251010;Chief of Air Force;Subroto Mukerjee;1933;1964;1999;SD;Indian Air Institution Builder;High;INDM_MUKERJEE;X
251011;Head of State;Rajendra Prasad;1933;1964;1999;SL;Indian Constituent President;High;INDM_RAJENDRA;X
251012;Head of Government;Vallabhbhai Patel;1933;1964;1999;SL;Patelian Integrator;High;INDM_PATEL;X
251013;Foreign Minister;C. Rajagopalachari;1933;1964;1999;SL;Constitutional Conciliator;High;INDM_RAJAGOPALACHARI;X
251014;Minister of Armament;M. Visvesvaraya;1933;1964;1999;SL;Development Engineer;High;INDM_VISVESVARAYA;X
251015;Minister of Security;B. R. Ambedkar;1933;1964;1999;SL;Ambedkarite Social Justice;High;INDM_AMBEDKAR;X
251016;Head of Military Intelligence;B. N. Rau;1933;1964;1999;SL;Constitutional Intelligence Analyst;High;INDM_BNRAU;X
251017;Chief of Staff;K. M. Cariappa;1933;1964;1999;SL;Professional General Staff;High;INDM_CARIAPPA;X
251018;Chief of Army;K. M. Cariappa;1933;1964;1999;SL;Indian Army Reformer;High;INDM_CARIAPPA;X
251019;Chief of Navy;Ram Dass Katari;1933;1964;1999;SL;Indian Ocean Fleet Architect;High;INDM_KATARI;X
251020;Chief of Air Force;Subroto Mukerjee;1933;1964;1999;SL;Indian Air Institution Builder;High;INDM_MUKERJEE;X
251021;Head of State;Jawaharlal Nehru;1933;1964;1999;LWR;Republican Modernizer;High;INDM_NEHRU;X
251022;Head of Government;Subhas Chandra Bose;1933;1964;1999;LWR;National Mobilization Director;High;INDM_BOSE;X
251023;Foreign Minister;V. K. Krishna Menon;1933;1964;1999;LWR;Anti-Colonial Diplomat;High;INDM_MENON;X
251024;Minister of Armament;Meghnad Saha;1933;1964;1999;LWR;Scientific Planning Director;High;INDM_SAHA;X
251025;Minister of Security;B. R. Ambedkar;1933;1964;1999;LWR;Ambedkarite Social Justice;High;INDM_AMBEDKAR;X
251026;Head of Military Intelligence;Subhas Chandra Bose;1933;1964;1999;LWR;Revolutionary Intelligence Network;High;INDM_BOSE;X
251027;Chief of Staff;Subhas Chandra Bose;1933;1964;1999;LWR;Mobilization General Staff;High;INDM_BOSE;X
251028;Chief of Army;K. M. Cariappa;1933;1964;1999;LWR;Indian Army Reformer;High;INDM_CARIAPPA;X
251029;Chief of Navy;Ram Dass Katari;1933;1964;1999;LWR;Indian Ocean Fleet Architect;High;INDM_KATARI;X
251030;Chief of Air Force;Subroto Mukerjee;1933;1964;1999;LWR;Indian Air Institution Builder;High;INDM_MUKERJEE;X
251040;Head of State;Rajendra Prasad;1938;1964;1999;PA;Indian Constituent President;High;INDM_RAJENDRA;X
251031;Head of Government;Subhas Chandra Bose;1938;1964;1999;PA;National Mobilization Director;High;INDM_BOSE;X
251032;Foreign Minister;V. K. Krishna Menon;1938;1964;1999;PA;Anti-Colonial Diplomat;High;INDM_MENON;X
251033;Minister of Armament;Vallabhbhai Patel;1938;1964;1999;PA;Patelian National Organizer;High;INDM_PATEL;X
251034;Minister of Security;B. R. Ambedkar;1938;1964;1999;PA;Ambedkarite Social Justice;High;INDM_AMBEDKAR;X
251035;Head of Military Intelligence;Subhas Chandra Bose;1938;1964;1999;PA;Revolutionary Intelligence Network;High;INDM_BOSE;X
251036;Chief of Staff;K. M. Cariappa;1938;1964;1999;PA;Professional General Staff;High;INDM_CARIAPPA;X
251037;Chief of Army;K. M. Cariappa;1938;1964;1999;PA;Indian Army Reformer;High;INDM_CARIAPPA;X
251038;Chief of Navy;Ram Dass Katari;1938;1964;1999;PA;Indian Ocean Fleet Architect;High;INDM_KATARI;X
251039;Chief of Air Force;Subroto Mukerjee;1938;1964;1999;PA;Indian Air Institution Builder;High;INDM_MUKERJEE;X
251041;Head of State;Mahatma Mohandas Gandhi;1933;1964;1999;SD;Gandhian Moral Authority;High;INDM_GANDHI;X
