MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GAR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVE;SUB;NSUB;TRA;CVL;R INT;rsv_33;rsv_34;rsv_35;rsv_36;rsv_37;rsv_38;rsv_39;rsv_40;X;Used By
MOV_FROZEN;-15;-15;-30;-20;-10;-10;-12;-12;-8;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8;-8;-8;-12;-12;-10;-30;-15;X;Land units
MOV_RAIN;-20;-25;-40;-30;-25;-25;-18;-15;-18;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18;-18;-18;-18;-15;-25;-40;-20;X;Land units
MOV_STORM;-40;-45;-60;-45;-40;-40;-35;-25;-35;-40;-40;-40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-35;-35;-35;-35;-25;-40;-60;-40;X;Land units
MOV_MUDDY;-70;-80;-95;-90;-90;-90;-65;-65;-65;-70;-70;-70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-65;-65;-65;-65;-65;-90;-95;-70;X;Land units
MOV_NIGHT;-70;-70;-80;-80;-85;-85;-70;-70;-70;-70;-70;-70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-70;-70;-70;-70;-70;-85;-80;-70;X;Land units
MOV_PLAIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_DESERT;-25;-15;-10;-5;0;0;-20;-20;-20;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;-20;-20;-20;-20;0;-10;-25;X;Land units
MOV_MOUNTAIN;-20;-25;-30;-35;-40;-40;-15;-15;-10;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;-10;-10;-15;-15;-40;-30;-20;X;Land units
MOV_HILL;-10;-10;-15;-10;-5;-5;-8;-8;-5;-10;-10;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;-5;-5;-8;-8;-5;-15;-10;X;Land units
MOV_FOREST;-15;-20;-30;-20;-15;-15;-10;-10;-10;-15;-15;-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10;-10;-10;-10;-10;-15;-30;-15;X;Land units
MOV_JUNGLE;-35;-45;-70;-60;-50;-50;-30;-25;-30;-35;-35;-35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-30;-30;-30;-30;-25;-50;-70;-35;X;Land units
MOV_SWAMP;-25;-30;-40;-50;-60;-60;-20;-15;-20;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-20;-20;-20;-20;-15;-60;-40;-25;X;Land units
MOV_URBAN;-5;-5;-10;-10;-15;-15;-5;-5;-5;-5;-5;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;-5;-5;-5;-5;-15;-10;-5;X;Land units
EOF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
