Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arjan Singh;250117;IND;1939;1943;1948;1990;2;8;69632;3;0;5;2;L505126;1939;1960;1999;x
Darshan Singh;250125;IND;1935;1939;1944;1990;2;5;32768;2;0;5;2;L505135;1935;1960;1999;x
Dewan;250126;IND;1938;1942;1947;1990;2;4;4096;1;0;5;2;L505136;1938;1960;1999;x
H. M. Moolgavkar;250137;IND;1939;1943;1948;1954;2;7;4096;3;0;5;2;L505148;1939;1960;1999;x
Subroto Mukerjee;250138;IND;1933;1937;1942;1948;1;8;4096;4;0;5;2;INDM_MUKERJEE;1933;1960;1999;x
Narendra;250139;IND;1937;1941;1946;1990;2;4;0;1;0;5;2;L505150;1937;1960;1999;x
Rafiqui;250140;IND;1938;1942;1946;1990;2;5;4096;2;0;5;2;L505151;1938;1960;1999;x
Sowrey;250142;IND;1933;1937;1942;1990;2;4;0;2;0;5;2;L1481;1933;1948;1999;x
Ahmad Ali of Malerjotla;250144;IND;1930;1990;1990;1990;3;3;3;1;0;5;0;L505178;1930;1946;1999;x
Ali Jah of Gwalior;250145;IND;1930;1940;1990;1990;2;6;64;1;0;5;0;L505179;1930;1960;1999;x
Anandrao IV. of Dhar;250146;IND;1930;1990;1990;1990;3;3;3;1;0;5;0;L505180;1930;1943;1999;x
Badur of Bharatpur;250147;IND;1938;1990;1990;1990;3;3;3;1;0;5;0;L505181;1938;1960;1999;x
Bhupindher Singh of Patiala;250148;IND;1930;1930;1990;1990;2;3;0;1;0;5;0;L505182;1930;1938;1999;x
Brijendra of Bharatpur;250149;IND;1930;1990;1990;1990;3;3;3;1;0;5;0;L505183;1930;1939;1999;x
Deb Barman of Tripura;250150;IND;1930;1990;1990;1990;3;3;3;1;0;5;0;L505184;1930;1960;1999;x
Desai of Savantwadi;250151;IND;1930;1990;1990;1990;3;6;513;1;0;5;0;L505185;1930;1960;1999;x
Digvijaysinhji of Nawanagar;250152;IND;1930;1930;1990;1990;2;4;0;1;0;5;0;L505186;1930;1960;1999;x
Fakhr of Jaora;250153;IND;1930;1990;1990;1990;3;3;3;1;0;5;0;L505187;1930;1960;1999;x
Farzand of Baroda;250154;IND;1930;1990;1990;1990;3;4;1;1;0;5;0;L505188;1930;1960;1999;x
H.E.H. Rustam of Hyderabad;250155;IND;1930;1930;1930;1990;1;3;0;1;0;5;0;L505189;1930;1945;1999;x
Himatsinhji of Idar;250156;IND;1930;1990;1990;1990;3;2;3;1;0;5;0;L505190;1930;1941;1999;x
Jagatdipredra of Cooch Bihar;250157;IND;1930;1990;1990;1990;3;3;3;1;0;5;0;L505191;1930;1960;1999;x
Jagatjit Singh of Kapurthala;250158;IND;1930;1990;1990;1990;3;4;3;1;0;5;0;L505192;1930;1960;1999;x
Kshatriya of Dewas;250159;IND;1930;1990;1990;1990;3;2;3;1;0;5;0;L505193;1930;1943;1999;x
Mirza III. of Cutch;250160;IND;1930;1990;1990;1990;3;3;3;1;0;5;0;L505194;1930;1942;1999;x
Mirza IV. of Cutch;250161;IND;1942;1990;1990;1990;3;3;32;1;0;5;0;L505195;1942;1960;1999;x
Mustaid Jang of Rampur;250162;IND;1939;1990;1990;1990;3;4;3;1;0;5;0;L505196;1939;1960;1999;x
Rajaram II of Kolhapur;250163;IND;1930;1990;1990;1990;3;4;16;1;0;5;0;L505197;1930;1940;1999;x
Rama Varma II of Travancore;250164;IND;1930;1990;1990;1990;3;4;4;1;0;5;0;L505198;1930;1960;1999;x
Rishi of Alwar;250165;IND;1945;1990;1990;1990;3;4;8;1;0;5;0;L505199;1945;1960;1999;x
Sawai of Alwar;250166;IND;1930;1990;1990;1990;3;2;3;1;0;5;0;L505200;1930;1938;1999;x
Shabeg Singh;250167;IND;1942;1944;1947;1990;1;6;261;3;0;5;0;L505201;1942;1960;1999;x
Sidi of Sachin;250168;IND;1930;1990;1990;1990;3;3;16;1;0;5;0;L505202;1930;1960;1999;x
Sikhander of Bhopal;250169;IND;1930;1990;1990;1990;3;4;64;1;0;5;0;L505203;1930;1990;1999;x
Tukorijao III. of Dewas;250170;IND;1930;1990;1990;1990;3;3;3;1;0;5;0;L505204;1930;1938;1999;x
Umaid of Jodhpur;250171;IND;1930;1930;1990;1990;2;5;64;1;0;5;0;L505205;1930;1947;1999;x
Wodeyar IV. of Mysore;250172;IND;1930;1990;1990;1990;3;3;3;1;0;5;0;L505206;1930;1940;1999;x
Wodeyar V. of Mysore;250173;IND;1940;1990;1990;1990;3;3;3;1;0;5;0;L505207;1940;1960;1999;x
Yadavindra Singh of Patiala;250174;IND;1938;1943;1990;1990;2;4;0;1;0;5;0;L505208;1938;1960;1999;x
Zubdat of Palanpur;250175;IND;1930;1990;1990;1990;3;3;3;1;0;5;0;L505209;1930;1960;1999;x
Raol III of Bhavnagar;250176;IND;1930;1990;1990;1990;3;4;8192;0;0;5;1;L505210;1930;1960;1999;x
Hanwanth of Jodhpur;250177;IND;1938;1990;1990;1990;3;4;4096;0;0;5;2;L505211;1938;1960;1999;x
Kishore of Tripura;250178;IND;1942;1990;1990;1990;3;3;0;0;0;5;2;L505212;1942;1960;1999;x
Rajendrasinhji Jadeja;251001;IND;1933;1933;1939;1945;1;7;69;4;0;5;0;INDL251001;1933;1960;1999;x
Nathu Singh Rathore;251002;IND;1933;1933;1943;1949;1;6;6;3;0;5;0;INDL251002;1933;1960;1999;x
S. P. P. Thorat;251003;IND;1933;1933;1942;1948;1;7;7;3;0;5;0;INDL251003;1933;1960;1999;x
Mohan Singh;251004;IND;1933;1933;1942;1948;1;6;388;3;0;5;0;INDL251004;1933;1960;1999;x
Shah Nawaz Khan;251005;IND;1934;1938;1943;1949;1;7;404;3;0;5;0;INDL251005;1934;1960;1999;x
Akbar Khan;251006;IND;1934;1938;1943;1949;1;7;404;3;0;5;0;INDL251006;1934;1960;1999;x
A. A. Rudra;251007;IND;1933;1933;1942;1948;1;6;33;3;0;5;0;INDL251007;1933;1958;1999;x
M. S. Wadalia;251008;IND;1934;1938;1943;1949;1;6;132;3;0;5;0;INDL251008;1934;1960;1999;x
Kalwant Singh;251009;IND;1933;1933;1942;1948;1;7;6;3;0;5;0;INDL251009;1933;1960;1999;x
P. P. Kumaramangalam;251010;IND;1935;1939;1944;1950;1;7;5;3;0;5;0;INDL251010;1935;1960;1999;x
Sam Manekshaw;251011;IND;1935;1939;1944;1950;1;8;21;3;0;5;0;INDL251011;1935;1960;1999;x
J. N. Chaudhuri;251012;IND;1934;1938;1943;1949;1;7;69;3;0;5;0;INDL251012;1934;1960;1999;x
K. M. Chandy;251013;IND;1936;1940;1945;1951;1;6;6;3;0;5;0;INDL251013;1936;1960;1999;x
Mohammad Ayub Khan;251014;IND;1933;1933;1942;1948;1;7;22;3;0;5;0;INDL251014;1933;1960;1999;x
J. N. Bhalla;251015;IND;1936;1940;1945;1951;1;6;33;3;0;5;0;INDL251015;1936;1960;1999;x
P. N. Thapar;251016;IND;1933;1937;1943;1950;1;6;3;2;0;5;0;INDL251016;1933;1960;1999;x
J. K. Bhonsle;251017;IND;1933;1937;1942;1948;1;6;5;3;0;5;0;INDL251017;1933;1960;1999;x
Mohammad Zaman Kiani;251018;IND;1934;1939;1944;1950;1;6;276;2;0;5;0;unknownleader;1934;1960;1999;x
Iftikhar Khan;251019;IND;1933;1938;1943;1949;1;7;129;3;0;5;0;unknownleader;1933;1960;1999;x
Habibullah Khan Khattak;251020;IND;1933;1938;1943;1949;1;6;3;2;0;5;0;unknownleader;1933;1960;1999;x
Mohammad Usman;251021;IND;1935;1940;1945;1951;1;7;6;3;0;5;0;unknownleader;1935;1960;1999;x
Gurbaksh Singh Dhillon;251022;IND;1936;1941;1946;1952;1;6;292;2;0;5;0;unknownleader;1936;1960;1999;x
Prem Kumar Sahgal;251023;IND;1937;1942;1947;1953;1;6;261;2;0;5;0;unknownleader;1937;1960;1999;x
Premindra Singh Bhagat;251024;IND;1940;1943;1948;1954;1;8;36;3;0;5;0;INDL251024;1940;1960;1999;x
B. M. Kaul;251025;IND;1935;1940;1946;1952;2;4;1;2;0;5;0;unknownleader;1935;1960;1999;x
Harbaksh Singh;251026;IND;1935;1939;1944;1950;1;8;7;3;0;5;0;L1004;1935;1960;1999;x
K. P. Candeth;251027;IND;1936;1940;1945;1951;1;7;68;3;0;5;0;L1013;1936;1960;1999;x
S. P. Sen;251028;IND;1933;1937;1942;1948;1;7;5;3;0;5;0;L1016;1933;1960;1999;x
N. C. Rawlley;251029;IND;1933;1937;1942;1948;1;7;19;3;0;5;0;L1021;1933;1960;1999;x
Daulat Singh;251030;IND;1933;1937;1942;1948;1;7;129;3;0;5;0;L1023;1933;1960;1999;x
P. S. Gyani;251031;IND;1933;1937;1942;1948;1;7;35;3;0;5;0;L1029;1933;1960;1999;x
B. K. N. Chhibber;251032;IND;1935;1939;1944;1950;1;6;6;3;0;5;0;L1034;1935;1960;1999;x
T. N. Raina;251033;IND;1938;1942;1947;1953;1;8;22;2;0;5;0;L1039;1938;1960;1999;x
G. G. Bewoor;251034;IND;1937;1941;1946;1952;1;7;3;3;0;5;0;L1046;1937;1960;1999;x
J. S. Aurora;251035;IND;1938;1942;1947;1953;1;8;13;2;0;5;0;L1047;1938;1960;1999;x
J. F. R. Jacob;251036;IND;1939;1943;1948;1954;1;8;36;2;0;5;0;L1051;1939;1960;1999;x
Joginder Singh Dhillon;251037;IND;1936;1940;1945;1951;1;7;37;3;0;5;0;L1067;1936;1960;1999;x
Sagat Singh;251038;IND;1939;1943;1948;1954;1;9;268;2;0;5;0;L1070;1939;1960;1999;x
Inderjit Singh Gill;251039;IND;1936;1940;1945;1951;1;7;296;2;0;5;0;L1074;1936;1960;1999;x
A. O. Mitha;251040;IND;1939;1943;1948;1954;1;8;296;2;0;5;0;L1077;1939;1960;1999;x
Z. C. Bakshi;251041;IND;1940;1944;1949;1955;1;7;276;2;0;5;0;L1094;1940;1960;1999;x
M. A. G. Osmani;251042;IND;1938;1942;1947;1953;1;7;5;2;0;5;0;L1097;1938;1960;1999;x
Muhammad Azam Khan;251043;IND;1933;1937;1942;1948;1;7;3;3;0;5;0;L1104;1933;1960;1999;x
Atiqur Rahman;251044;IND;1933;1937;1942;1948;1;7;19;3;0;5;0;L1106;1933;1960;1999;x
Yahya Khan;251045;IND;1938;1942;1947;1953;1;7;140;2;0;5;0;L1111;1938;1960;1999;x
Tikka Khan;251046;IND;1939;1943;1948;1954;1;6;68;2;0;5;0;L1118;1939;1960;1999;x
Gul Hassan Khan;251047;IND;1940;1944;1949;1955;1;7;140;2;0;5;0;L1122;1940;1960;1999;x
Khwaja Wasiuddin;251048;IND;1939;1943;1948;1954;1;6;3;2;0;5;0;L1128;1939;1960;1999;x
A. A. K. Niazi;251049;IND;1940;1944;1949;1955;1;6;12;2;0;5;0;L1134;1940;1960;1999;x
K. S. Katoch;251050;IND;1934;1938;1943;1949;1;7;20;3;0;5;0;L1135;1934;1960;1999;x
Gurbaksh Singh;251051;IND;1933;1937;1942;1948;1;6;261;3;0;5;0;L1144;1933;1960;1999;x
Rajinder Singh Sparrow;251052;IND;1938;1942;1947;1953;1;8;140;3;0;5;0;L1157;1938;1960;1999;x
Hira Lal Atal;251053;IND;1933;1937;1942;1948;1;6;3;3;0;5;0;L1164;1933;1960;1999;x
O. P. Malhotra;251054;IND;1939;1943;1948;1954;1;7;37;2;0;5;0;L1178;1939;1960;1999;x
K. V. Krishna Rao;251055;IND;1940;1944;1949;1955;1;7;5;2;0;5;0;L1195;1940;1960;1999;x
S. K. Sinha;251056;IND;1940;1944;1949;1955;1;7;3;2;0;5;0;L1200;1940;1960;1999;x
Bhaskar Soman;251101;IND;1933;1937;1942;1948;1;7;4096;3;0;5;1;INDL251101;1933;1960;1999;x
J. T. G. Pereira;251102;IND;1935;1939;1944;1950;1;6;4096;3;0;5;1;INDL251102;1935;1960;1999;x
R. D. Palsokar;251103;IND;1935;1939;1944;1950;1;6;1024;3;0;5;1;INDL251103;1935;1960;1999;x
K. R. Nair;251104;IND;1936;1940;1945;1951;1;6;2048;3;0;5;1;INDL251104;1936;1960;1999;x
N. Krishnan;251105;IND;1934;1938;1943;1949;1;7;12288;3;0;5;1;INDL251105;1934;1960;1999;x
A. Chakraverti;251106;IND;1938;1942;1947;1953;1;6;8192;2;0;5;1;INDL251106;1938;1960;1999;x
S. G. Karmarkar;251107;IND;1933;1938;1943;1949;1;6;10240;3;0;5;1;unknownleader;1933;1960;1999;x
Jal Cursetji;251108;IND;1939;1943;1948;1954;1;7;12288;2;0;5;1;unknownleader;1939;1960;1999;x
Karun Krishna Majumdar;251201;IND;1933;1937;1942;1948;1;7;20480;3;0;5;2;INDL251201;1933;1960;1999;x
Aspy Merwan Engineer;251202;IND;1933;1937;1942;1948;1;7;4096;3;0;5;2;INDL251202;1933;1960;1999;x
Mehar Singh;251203;IND;1933;1937;1942;1948;1;7;20480;3;0;5;2;INDL251203;1933;1960;1999;x
Minoo Merwan Engineer;251204;IND;1935;1939;1944;1950;1;7;135168;3;0;5;2;INDL251204;1935;1960;1999;x
Pratap Chandra Lal;251205;IND;1937;1941;1946;1952;1;7;4096;3;0;5;2;INDL251205;1937;1960;1999;x
Om Prakash Mehra;251206;IND;1938;1942;1947;1953;1;6;12288;2;0;5;2;INDL251206;1938;1960;1999;x
Idris Latif;251207;IND;1942;1946;1951;1957;1;7;69632;2;0;5;2;INDL251207;1942;1960;1999;x
Ranjan Dutt;251208;IND;1939;1943;1948;1954;1;6;4096;2;0;5;2;INDL251208;1939;1960;1999;x
