path,kind,family,source,provenance,sha256
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-WALK D-S.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,87935afbc23e8aa5c04549d9aed0328897c8ddddf7f1b4f8ac9e734f773404c9
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-WALK D-SE.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,39548058db47bd3e7d93133f1c04965912ea0605075d9875e45a1b7b42956fd5
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-WALK D-SW.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,c2a07d107105dedb7844ba9a58b69fc814ff07fd76b6415a0e9aac0ce545b744
mod/gfx/map/units/bmp/AUBM-IND-BOMBER A-WALK D-W.bmp,bmp,bomber,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=6,generated original India service sprite; not derived from another mod,10ed0d71a649a8b0a5bdf81a6dbe4ec6b2634b39994bb7bed7761243523ca102
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-FIRE D-E.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,d06de4ba49a61c5d817f13314ef2d667c2ad5617699d0570631740dceb40e71f
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-FIRE D-N.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,bb83e997dc17e4432a1609a77d4322e7cd3d0fecfda29a8b880e5a8ddcabb480
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-FIRE D-NE.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,176e0a2926da494928934f3b4c5d1f19f94c08f698c30a47191d844a5afb7930
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-FIRE D-NW.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,e07a54216e50b1295cfa79c78259fd0c57007248eed7d36dbc72f19f3c22483d
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-FIRE D-S.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,1b43265cdd0da12bd72b84e56bc490b609d1f181197092f8a11169ddff818518
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-FIRE D-SE.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,1b0012835c19bddd1c00e48ae54ae133bb812c306a7e62b840b00e7a8829241e
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-FIRE D-SW.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,1320d043a2cb1e014e079221d1980804fae72467e58f283220ab34e97f526a2b
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-FIRE D-W.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,97047317b77d5081551a80cb764f92e49733f991b23b607e948355c05b2adc06
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-STAND.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,09dd8b91fa08518dbd2b6204483cb95fabbb21715ddb6e97cfa0912cffb9e7c7
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-WALK D-E.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,ec471788837c8994e66f2411d37cea1d8f9abcb7efb941484497aab87d49b0fc
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-WALK D-N.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,4cc222488d7e58f1c2531a882e50e7e5b164acb6d62062f71330398e7b558192
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-WALK D-NE.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,a6f98f3171dca2b4c2981c77115fa31dabeb5463fbdab4bbecbd34a6c66f5388
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-WALK D-NW.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,8c025394a6bfad0d096a253787b4bc28c69df4720b0a6897fcc4df09c680abbe
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-WALK D-S.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,e733ff6d96f3f7836f13b55dd3bb77ac826d879d7685ba38930941158c21fdd8
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-WALK D-SE.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,3aea74e86a22d795daef3841911340979b7cdc7410910a34111131bae1d55449
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-WALK D-SW.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,d44050d46bf55a39ae9f1e1cb8a2c7f3631b2a97f9386584d31ae91bce81e037
mod/gfx/map/units/bmp/AUBM-IND-CAPITAL A-WALK D-W.bmp,bmp,capital,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=1,generated original India service sprite; not derived from another mod,c935aa1df618a0c6ebce9083ec1e65261a13f6a5504197c7f495cc8319e482d3
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-FIRE D-E.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,96da9bf89145ea3470d96bb77e33e6a39a19a4f64fd2e48f8b240ba487360b80
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-FIRE D-N.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,55f5136073d388bc7e013d5a7702df407e92ea6108d967c435238c57efa819d7
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-FIRE D-NE.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,9090e836c3c925442e19cf118fd9b6f872cc2b4bb800861f0833dc8da43bd924
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-FIRE D-NW.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,d9a308d62624914a55afb5543c5dd0c70cc9b4abc2deff59a56f872179e029f8
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-FIRE D-S.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,496f897ee848cf0d23e3a07d4171326fdf5f4bedc063f6a93974fc607bb44f58
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-FIRE D-SE.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,32f2084eb410bbf82fb686e4dcd65ac011e0734d5fb016d00c0f4a345573dc5a
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-FIRE D-SW.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,c1bad2459bc97ebc88bda8c65dd39e6bf6bc7b2cce9556dd198b1bc854b5fd31
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-FIRE D-W.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,272e1a308bdf5c9c67552a9b8fb54bcba1aaf1757bcfc3a11c015e98a6723f73
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-STAND.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,d74ae79a926491352e3f17ece9aa9ceedff35d46f9a3ff0e1a7787c673f74cd0
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-WALK D-E.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,984ad6cce1477d590a6ca53bce3c38a0504b644dcd87afa9991d461760a26e60
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-WALK D-N.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,c8bd83e63241a0a480c98a7557daa182ade9c6d98bc523536b8a010789440844
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-WALK D-NE.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,f4c0684885da58fbdc400c499f6a52622ad77c6be6a93ebc13e5bc4258a413d2
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-WALK D-NW.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,4396bd139d0908b1c2c6662826f62e1bdea372a9c59b143775376c00a1886b7c
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-WALK D-S.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,17346349ab395735dec745b1cfa28451c74bb8c9fe30e8445cf51ddd0729d57a
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-WALK D-SE.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,2bce319efe45c5f29247720942f6faeaab5a0148fcb8234de852337cc6d08b73
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-WALK D-SW.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,40a9eb58dbfdfc99bcbf4415832bcb88fb84f786c7b86c290478500bc225c3b3
mod/gfx/map/units/bmp/AUBM-IND-CARRIER A-WALK D-W.bmp,bmp,carrier,tools/art_sources/v4_sprites/india_service_sheet_01.png#panel=8,generated original India service sprite; not derived from another mod,9dddce1a5877527b83e7cf5e1e39141ae5270cd8565210b362e5ac498ffabe6d
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-FIRE D-E.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,6a486931d83ad0281a95b801a224125bd113b707b1078fb7f3214d325f797b16
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-FIRE D-N.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,6a486931d83ad0281a95b801a224125bd113b707b1078fb7f3214d325f797b16
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-FIRE D-NE.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,6a486931d83ad0281a95b801a224125bd113b707b1078fb7f3214d325f797b16
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-FIRE D-NW.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,d899bab8d727e54eee81fc9309895a0d50c36a0d5b1a5dbd89b75f7fd4633a4a
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-FIRE D-S.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,6a486931d83ad0281a95b801a224125bd113b707b1078fb7f3214d325f797b16
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-FIRE D-SE.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,6a486931d83ad0281a95b801a224125bd113b707b1078fb7f3214d325f797b16
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-FIRE D-SW.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,d899bab8d727e54eee81fc9309895a0d50c36a0d5b1a5dbd89b75f7fd4633a4a
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-FIRE D-W.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,d899bab8d727e54eee81fc9309895a0d50c36a0d5b1a5dbd89b75f7fd4633a4a
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-STAND.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,b093264000801d523bce17796efa808e5c07348dc9c7e61b6c564f164f743731
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-WALK D-E.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,7981b2c8a2216145d6b48eb5ecd02a76275d59799c6f65e602bba0f75fcb2c80
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-WALK D-N.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,7981b2c8a2216145d6b48eb5ecd02a76275d59799c6f65e602bba0f75fcb2c80
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-WALK D-NE.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,7981b2c8a2216145d6b48eb5ecd02a76275d59799c6f65e602bba0f75fcb2c80
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-WALK D-NW.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,e68c8b510583eb50a5ab164b54d009afde808d2461388fc39a2fb25b2d33140b
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-WALK D-S.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,7981b2c8a2216145d6b48eb5ecd02a76275d59799c6f65e602bba0f75fcb2c80
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-WALK D-SE.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,7981b2c8a2216145d6b48eb5ecd02a76275d59799c6f65e602bba0f75fcb2c80
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-WALK D-SW.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,e68c8b510583eb50a5ab164b54d009afde808d2461388fc39a2fb25b2d33140b
mod/gfx/map/units/bmp/AUBM-IND-CAVALRY A-WALK D-W.bmp,bmp,cavalry,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=4,generated original India service sprite; not derived from another mod,e68c8b510583eb50a5ab164b54d009afde808d2461388fc39a2fb25b2d33140b
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-FIRE D-E.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,396e07e228308a623265889c5f35a02c2a2642d20cb1472392cd2bedca93a286
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-FIRE D-N.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,f6fe7e4b52863e044fccab5730175311eb78f66274feb1f01b2656155b6e926d
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-FIRE D-NE.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,3555ef610ccaa6170eaace52f88c882caf1c2f5db349408eb8f525f72eb33adb
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-FIRE D-NW.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,658d4f63d7266b3c7804854a40457d4e554a90a8c3d6940ff2cc5c64641708f2
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-FIRE D-S.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,278c704fa4917c195621ca6324bfcedf5070119e024c1b3ccbff75cb977d091a
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-FIRE D-SE.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,55aaeba7c102b7c538a20149aa6a407344b226040c80c1aa46b30ce18f13708d
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-FIRE D-SW.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,dc2968c6a1c7e32b2acdd237f8f62268cd5bb62630c1f70dc09056262a48b902
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-FIRE D-W.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,2ae4fa13e7532a5fdce0260bb4021c1765ff3f1d0bf7c4cb2dfe5baac5bf6675
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-STAND.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,bae8aae089ebb12cdfdcc67d0ce8ccbb754f2de4a4f27e9026b1db011956611f
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-WALK D-E.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,9a8e446eed76adef455342ccb0c2ed6cbb43637255e1f930b31d6f0d381637e0
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-WALK D-N.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,6c9799df8e9174154651d6f796e0dd20196ab27bdbd10dcf2983eb5a55130906
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-WALK D-NE.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,ad7b60824f15c98cecf61ed35a0b011aaa18853ef328ffc3d6de14e82422efbd
mod/gfx/map/units/bmp/AUBM-IND-CRUISER A-WALK D-NW.bmp,bmp,cruiser,tools/art_sources/v4_sprites/india_service_sheet_02.png#panel=2,generated original India service sprite; not derived from another mod,399d46c65de707d40662d45dbfcf203951e33aee1a8875fb0baccd244329c63a
