asset,kind,person,article,commons_file,description_url,license,license_url,artist,credit,provenance
INDM_BNRAU,minister,B. N. Rau,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDM_BOSE,minister,Subhas Chandra Bose,https://en.wikipedia.org/wiki/Subhas_Chandra_Bose,File:Subhas_Chandra_Bose_NRB.jpg,https://commons.wikimedia.org/wiki/File:Subhas_Chandra_Bose_NRB.jpg,Public domain,,"Unknown (Netaji Research Bureau, Calcutta)",[1],historical photograph
INDM_MENON,minister,V. K. Krishna Menon,https://en.wikipedia.org/wiki/V._K._Krishna_Menon,File:V._K._Krishna_Menon_(cropped).jpg,https://commons.wikimedia.org/wiki/File:V._K._Krishna_Menon_(cropped).jpg,Public domain,,Unknown author Unknown author,https://thelogicalindian.com/history/remembering-vk-krishna-menon-31078,historical photograph
INDM_SAHA,minister,Meghnad Saha,https://en.wikipedia.org/wiki/Meghnad_Saha,File:Dr-Meghnad-Saha.jpg,https://commons.wikimedia.org/wiki/File:Dr-Meghnad-Saha.jpg,Public domain,,Unknown author Unknown author,http://www.rkmstudentshome.org/our-inspirations/,historical photograph
INDM_GANDHI,minister,Mahatma Gandhi,https://en.wikipedia.org/wiki/Mahatma_Gandhi,"File:Mahatma-Gandhi,_studio,_1931.jpg","https://commons.wikimedia.org/wiki/File:Mahatma-Gandhi,_studio,_1931.jpg",Public domain,,Elliott & Fry,philogalichet.fr ( context ),historical photograph
INDL251001,leader,Rajendrasinhji Jadeja,https://en.wikipedia.org/wiki/Rajendrasinhji_Jadeja,File:Gen_Maharaj_Shri_Rajendrasinhji_Jadeja.jpg,https://commons.wikimedia.org/wiki/File:Gen_Maharaj_Shri_Rajendrasinhji_Jadeja.jpg,GODL-India,https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf,Indian Army,http://indianarmy.nic.in/Site/FormTemplete/frmTemp1PTC2C.aspx?MnId=alwNGgdtveH0frjDFjt37g==&ParentID=fyxRFsOpKSbUVPY793Fepg==,historical photograph
INDL251002,leader,Nathu Singh Rathore,https://en.wikipedia.org/wiki/Nathu_Singh_Rathore,Lt Gen Nathu Singh Rathore,https://picryl.com/media/lt-gen-nathu-singh-rathore-3c055c,public domain,https://picryl.com/media/lt-gen-nathu-singh-rathore-3c055c,,PICRYL description: public-domain photograph of India under British rule,historical photograph
INDL251003,leader,S. P. P. Thorat,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251004,leader,Mohan Singh,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251005,leader,Shah Nawaz Khan,https://en.wikipedia.org/wiki/Shah_Nawaz_Khan_%28general%29,File:Shah_Nawaz_Khan.jpg,https://commons.wikimedia.org/wiki/File:Shah_Nawaz_Khan.jpg,Public domain,,Unknown author Unknown author,thebetterindia.com,historical photograph
INDL251006,leader,Akbar Khan,https://en.wikipedia.org/wiki/Akbar_Khan_%28Pakistani_general%29,File:Akbar_Khan_DSO.jpg,https://commons.wikimedia.org/wiki/File:Akbar_Khan_DSO.jpg,Public domain,,Government of Pakistan,Online web circulation,historical photograph
INDL251007,leader,A. A. Rudra,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251008,leader,M. S. Wadalia,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251009,leader,Kalwant Singh,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251010,leader,P. P. Kumaramangalam,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251011,leader,Sam Manekshaw,https://en.wikipedia.org/wiki/Sam_Manekshaw,File:Field_marshal_SHFJ_Manekshaw.jpg,https://commons.wikimedia.org/wiki/File:Field_marshal_SHFJ_Manekshaw.jpg,GODL-India,https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf,Indian Army,http://indianarmy.nic.in/Site/FormTemplete/frmTemp1PTC2C.aspx?MnId=hj7PRBGOy4PLR+AzgPkgRA==&ParentID=alQzBnYc3dwSjH5M3LJoVA==,historical photograph
INDL251012,leader,J. N. Chaudhuri,https://en.wikipedia.org/wiki/Jayanto_Nath_Chaudhuri,File:General_Jayanto_Nath_Chaudhuri.jpg,https://commons.wikimedia.org/wiki/File:General_Jayanto_Nath_Chaudhuri.jpg,GODL-India,https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf,Indian Army,https://indianarmy.nic.in/Site/FormTemplete/frmTemp1PTC2C.aspx?MnId=f0B481LUQ3rlov3O/ktBpg==&ParentID=5E2a/amzTSck9+2UIX1kfw==,historical photograph
INDL251013,leader,K. M. Chandy,https://en.wikipedia.org/wiki/K._M._Chandy,File:Prof.K.M.Chandy.jpg,https://commons.wikimedia.org/wiki/File:Prof.K.M.Chandy.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Chiamr,"Chiamr, Prof. K. M. Chandy, CC BY-SA 3.0; cropped, grayscaled and resized for the mod.",historical photograph
INDL251014,leader,Mohammad Ayub Khan,https://en.wikipedia.org/wiki/Ayub_Khan,File:Muhammed_Ayub_Khan.JPG,https://commons.wikimedia.org/wiki/File:Muhammed_Ayub_Khan.JPG,CC BY-SA 3.0 de,https://creativecommons.org/licenses/by-sa/3.0/de/deed.en,Egon Steiner,"Bundesarchiv, B 145 Bild-F009528-0017 / Steiner, Egon / CC BY-SA 3.0 Germany; cropped, grayscaled and resized for the mod.",historical photograph
INDL251015,leader,J. N. Bhalla,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251101,leader,Bhaskar Soman,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251102,leader,J. T. G. Pereira,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251103,leader,R. D. Palsokar,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251104,leader,K. R. Nair,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251105,leader,N. Krishnan,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251106,leader,A. Chakraverti,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251201,leader,Karun Krishna Majumdar,https://en.wikipedia.org/wiki/Karun_Krishna_Majumdar,File:Karun_Krishna_Majumdar.jpg,https://commons.wikimedia.org/wiki/File:Karun_Krishna_Majumdar.jpg,Public domain,,Unknown author Unknown author,Immediate: http://www.bharat-rakshak.com/IAF/Personnel/Legends/313-Jumbo-Majumdar.html Original: Unknown,historical photograph
INDL251202,leader,Aspy Merwan Engineer,https://en.wikipedia.org/wiki/Aspy_Engineer,File:Air_Marshal_Aspy_Engineer.jpg,https://commons.wikimedia.org/wiki/File:Air_Marshal_Aspy_Engineer.jpg,GODL-India,https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf,Indian Air Force,http://indianairforce.nic.in/content/aspy-merwan-engineer-dfc-cas-0,historical photograph
INDL251203,leader,Mehar Singh,https://www.bharat-rakshak.com/iaf/history/ww2/veterans/mehar-singh-legend/,Mehar WgCdr,https://www.bharat-rakshak.com/iaf/history/ww2/veterans/mehar-singh-legend/,author-provided historical photograph,,,Bharat Rakshak Indian Air Force history archive,historical photograph
INDL251204,leader,Minoo Merwan Engineer,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
INDL251205,leader,Pratap Chandra Lal,https://en.wikipedia.org/wiki/Pratap_Chandra_Lal,File:ACM_PC_Lal.jpg,https://commons.wikimedia.org/wiki/File:ACM_PC_Lal.jpg,GODL-India,https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf,Indian Air Force,http://indianairforce.nic.in/content/pratap-chandra-lal-padam-vibhushan-padam-bhushan-dfc-cas,historical photograph
INDL251206,leader,Om Prakash Mehra,https://en.wikipedia.org/wiki/Om_Prakash_Mehra,File:ACM_OP_Mehra.jpg,https://commons.wikimedia.org/wiki/File:ACM_OP_Mehra.jpg,GODL-India,https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf,Indian Air Force,http://indianairforce.nic.in/content/om-prakash-mehra-pvsm,historical photograph
INDL251207,leader,Idris Latif,https://en.wikipedia.org/wiki/Idris_Hasan_Latif,File:ACM_IH_Latif.jpg,https://commons.wikimedia.org/wiki/File:ACM_IH_Latif.jpg,GODL-India,https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf,Indian Air Force,http://indianairforce.nic.in/content/idris-hassan-latif-pvsm-cas,historical photograph
INDL251208,leader,Ranjan Dutt,,,,original generated asset,,OpenAI image generation,Plausible painted reconstruction; not an archival likeness,plausible painted reconstruction
