kind,id,name,game_assignment,historical_basis,alt_history_embellishment,source_url
leader,251002,Nathu Singh Rathore,"land | max skill 6 | Defensive Doctrine, Offensive Doctrine | available 1933",Professional Indian Army officer noted for forthright leadership and later high command.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://picryl.com/media/lt-gen-nathu-singh-rathore-3c055c
leader,251003,S. P. P. Thorat,"land | max skill 7 | Logistics Wizard, Defensive Doctrine, Offensive Doctrine | available 1933","Infantry commander and staff officer with later experience in Burma, frontier security and national-level planning.",Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://en.wikipedia.org/wiki/S._P._P._Thorat
leader,251004,Mohan Singh,"land | max skill 6 | Offensive Doctrine, Commando | available 1933",British Indian Army officer who became the first commander of the Indian National Army.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://en.wikipedia.org/wiki/Mohan_Singh_(general)
leader,251005,Shah Nawaz Khan,"land | max skill 7 | Offensive Doctrine, Trickster, Commando | available 1934",Indian Army officer and senior INA field commander in the Burma and Imphal campaigns.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://en.wikipedia.org/wiki/Shah_Nawaz_Khan_(general)
leader,251006,Akbar Khan,"land | max skill 7 | Offensive Doctrine, Trickster, Commando | available 1934","Artillery officer, DSO recipient and later operational planner with experience in irregular and mountain warfare.",Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://en.wikipedia.org/wiki/Akbar_Khan_(Pakistani_general)
leader,251007,A. A. Rudra,"land | max skill 6 | Logistics Wizard, Engineer | available 1933",Early Indian commissioned officer and infantry commander whose career supports staff and logistics competence.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/army/
leader,251008,M. S. Wadalia,"land | max skill 6 | Offensive Doctrine, Commando | available 1934",Indian Army officer used as a plausible early mobile and special-operations cadre in the accelerated national army.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/army/
leader,251009,Kalwant Singh,"land | max skill 7 | Defensive Doctrine, Offensive Doctrine | available 1933","Infantry officer with later divisional and Kashmir command experience, supporting offensive and defensive skill.",Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://en.wikipedia.org/wiki/Kalwant_Singh
leader,251010,P. P. Kumaramangalam,"land | max skill 7 | Logistics Wizard, Offensive Doctrine | available 1935","Royal Artillery officer, wartime prisoner of war and later Chief of Army Staff with a strong fire-support background.",Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://en.wikipedia.org/wiki/P._P._Kumaramangalam
leader,251011,Sam Manekshaw,"land | max skill 8 | Logistics Wizard, Offensive Doctrine, Trickster | available 1935","Staff College graduate, Military Cross recipient in Burma and later field marshal noted for planning and administration.",Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/army/personnel/chiefs/sam-manekshaw/
leader,251012,J. N. Chaudhuri,"land | max skill 7 | Logistics Wizard, Offensive Doctrine, Panzer Leader | available 1934",Armoured-corps and staff officer with Burma experience who later commanded major mobile operations.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/army/personnel/chiefs/jn-chaudhuri/
leader,251013,K. M. Chandy,"land | max skill 6 | Defensive Doctrine, Offensive Doctrine | available 1936",Indian Army officer retained as a junior defensive and logistics commander in the expanded alternate roster.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/army/
leader,251014,Mohammad Ayub Khan,"land | max skill 7 | Defensive Doctrine, Offensive Doctrine, Trickster | available 1933","British Indian Army officer, Sandhurst graduate and later senior commander with frontier and staff experience.",Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://en.wikipedia.org/wiki/Ayub_Khan
leader,251015,J. N. Bhalla,"land | max skill 6 | Logistics Wizard, Engineer | available 1936",Indian Army officer used as a junior engineering and fortification specialist in the accelerated officer corps.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/army/
leader,251101,Bhaskar Soman,naval | max skill 7 | Superior Tactician | available 1933,"Royal Indian Navy officer, wartime escort commander and later the second Indian Chief of Naval Staff.",Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/navy/personnel/chiefs/bs-soman/
leader,251102,J. T. G. Pereira,naval | max skill 6 | Superior Tactician | available 1935,Indian naval officer represented as a surface-warfare tactician in the enlarged prewar fleet cadre.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/navy/
leader,251103,R. D. Palsokar,naval | max skill 6 | Blockade Runner | available 1935,"Indian naval officer represented as an escort, convoy and blockade-running specialist.",Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/navy/
leader,251104,K. R. Nair,naval | max skill 6 | Spotter | available 1936,Indian naval officer represented as a reconnaissance and fleet-spotting specialist.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/navy/
leader,251105,N. Krishnan,"naval | max skill 7 | Superior Tactician, Sea Wolf | available 1934",Distinguished Indian naval officer whose wartime service and later operational writing support tactical and submarine expertise.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/navy/books/reviews/book-review-a-sailors-story-vice-adml-n-krishnan/
leader,251106,A. Chakraverti,naval | max skill 6 | Sea Wolf | available 1938,Indian naval officer represented as a submarine and undersea-warfare specialist in the accelerated fleet.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/navy/
leader,251201,Karun Krishna Majumdar,"air | max skill 7 | Superior Tactician, Tank Buster | available 1933",Decorated combat pilot and squadron leader noted for aggressive low-level operations in Burma.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/iaf/personnel/legends/jumbo-majumdar/
leader,251202,Aspy Merwan Engineer,air | max skill 7 | Superior Tactician | available 1933,"Pioneering Indian aviator, DFC recipient and later Chief of Air Staff with operational and training experience.",Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/iaf/history/ww2/veterans/aspy-engineer/
leader,251203,Mehar Singh,"air | max skill 7 | Superior Tactician, Tank Buster | available 1933","Highly decorated and audacious air commander associated with tactical support, transport and high-risk operations.",Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/iaf/history/ww2/veterans/mehar-singh-legend/
leader,251204,Minoo Merwan Engineer,"air | max skill 7 | Superior Tactician, Fleet Destroyer | available 1935",Royal Indian Air Force pilot represented as a maritime-strike and tactical aviation specialist.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/iaf/
leader,251205,Pratap Chandra Lal,air | max skill 7 | Superior Tactician | available 1937,Wartime pilot and later Chief of Air Staff noted for operational command and institutional competence.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/iaf/personnel/chiefs/pratap-chandra-lal/
leader,251206,Om Prakash Mehra,"air | max skill 6 | Superior Tactician, Spotter | available 1938",Indian air officer whose later senior commands support tactical awareness and reconnaissance traits.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://en.wikipedia.org/wiki/Om_Prakash_Mehra
leader,251207,Idris Latif,"air | max skill 7 | Superior Tactician, Night Flyer | available 1942","Indian air officer with later fighter, training and senior command experience, represented as a night-operations specialist.",Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://en.wikipedia.org/wiki/Idris_Hasan_Latif
leader,251208,Ranjan Dutt,air | max skill 6 | Superior Tactician | available 1939,Royal Indian Air Force pilot represented as a junior tactical air commander in the wartime expansion.,Visibility and senior responsibility are advanced in the independent 1933 officer corps; traits project documented service strengths without using fantasy abilities.,https://www.bharat-rakshak.com/iaf/
tech_team,250001,Indian Government Railways,"skill 6 | mechanics, industrial_engineering, management, technical_efficiency | available 1930",The subcontinent possessed one of the world's largest rail systems and extensive engineering workshops.,Historical capability is consolidated and accelerated by independence; research breadth is expanded to cover the alternate state's strategic programme.,https://indianrailways.gov.in/railwayboard/uploads/directorate/heritage/History%20of%20IR-%20English.pdf
tech_team,250002,Tata Iron and Steel Company,"skill 7 | industrial_engineering, technical_efficiency, chemistry, management | available 1930",TISCO had produced steel at Jamshedpur since 1912 and supplied rails and strategic metal.,Historical capability is consolidated and accelerated by independence; research breadth is expanded to cover the alternate state's strategic programme.,https://www.tatasteel.com/corporate/our-organisation/history-of-tata-steel/
tech_team,250003,Indian Association for Cultivation of Science,"skill 7 | mathematics, chemistry, nuclear_physics | available 1930",Founded in 1876; home to major Indian work in physics and chemistry including Raman's research.,Historical capability is consolidated and accelerated by independence; research breadth is expanded to cover the alternate state's strategic programme.,https://iacs.res.in/maincontroller.php?navid=12
tech_team,250004,Military Engineering Services,"skill 6 | management, general_equipment, mechanics, technical_efficiency, vehicle_engineering | available 1930","The established military engineering organization provided construction, fortification and technical services.",Historical capability is consolidated and accelerated by independence; research breadth is expanded to cover the alternate state's strategic programme.,https://mes.gov.in/
tech_team,250005,Indian Ordnance Factories,"skill 6 | mechanics, munitions, artillery, general_equipment | available 1930",India's ordnance-factory lineage predates the nineteenth century and included major arsenals and production plants.,Historical capability is consolidated and accelerated by independence; research breadth is expanded to cover the alternate state's strategic programme.,https://ddpdoo.gov.in/pages/history
tech_team,250006,Garden Reach Workshop,"skill 5 | naval_engineering, general_equipment, technical_efficiency, submarine_design | available 1930",Garden Reach's Calcutta shipbuilding lineage dates to the nineteenth century.,Historical capability is consolidated and accelerated by independence; research breadth is expanded to cover the alternate state's strategic programme.,https://www.grse.in/history/
tech_team,250007,Mazagon Dock Limited,"skill 5 | naval_engineering, naval_artillery, technical_efficiency | available 1930",Bombay's Mazagon shipyard had a long commercial and naval construction history.,Historical capability is consolidated and accelerated by independence; research breadth is expanded to cover the alternate state's strategic programme.,https://mazagondock.in/English/pages/history
tech_team,250008,J. R. D. Tata,"skill 6 | aeronautics, industrial_engineering, technical_efficiency, management, aircraft_testing, fighter_design, bomber_design, avionics | available 1930",Aviation pioneer who flew India's first commercial airmail service in 1932 and built Tata aviation enterprises.,Historical capability is consolidated and accelerated by independence; research breadth is expanded to cover the alternate state's strategic programme.,https://www.tata.com/newsroom/heritage/jrd-tata-father-indian-aviation
tech_team,250009,Indian Academy of Sciences,"skill 7 | mathematics, chemistry, electronics, mechanics | available 1930",Founded in Bangalore in 1934 under C. V. Raman to advance scientific research.,Historical capability is consolidated and accelerated by independence; research breadth is expanded to cover the alternate state's strategic programme.,https://www.ias.ac.in/About_IASc/History
tech_team,250010,K. M. Cariappa,"skill 6 | centralized_execution, large_unit_tactics, training, combined_arms_focus | available 1930",Professional staff officer and later first Indian Commander-in-Chief.,Historical capability is consolidated and accelerated by independence; the institution is deliberately founded earlier than in real history.,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2213933&lang=1&reg=1
tech_team,250011,Frank Messervy,"skill 5 | decentralized_execution, small_unit_tactics, combined_arms_focus, infantry_focus, individual_courage, mountain_training | available 1930",Armoured officer and wartime commander with combined-arms and frontier experience.,Historical capability is consolidated and accelerated by independence; research breadth is expanded to cover the alternate state's strategic programme.,https://en.wikipedia.org/wiki/Frank_Messervy
tech_team,250012,Aspy Merwan Engineer,"skill 5 | bomber_tactics, training, piloting, centralized_execution | available 1930","Pioneering Indian military aviator with combat, training and senior command experience.",Historical capability is consolidated and accelerated by independence; research breadth is expanded to cover the alternate state's strategic programme.,https://www.bharat-rakshak.com/iaf/history/ww2/veterans/aspy-engineer/
tech_team,250013,Hindustan Aircraft Limited,"skill 7 | bomber_design, aeronautics, aircraft_testing, fighter_design, avionics | available 1930",HAL was founded at Bangalore in 1940 as India's principal aircraft manufacturer.,Historical capability is consolidated and accelerated by independence; the institution is deliberately founded earlier than in real history.,https://hal-india.co.in/backend/wp-content/uploads/2022/12/HAL-Heritage-Centre.pdf
tech_team,250014,National Planning Commission,"skill 8 | industrial_engineering, management, technical_efficiency, mathematics | available 1930",Based on the Congress National Planning Committee created in 1938 under Nehru.,Historical capability is consolidated and accelerated by independence; the institution is deliberately founded earlier than in real history.,https://nehruarchive.in/documents/national-planning-committee-29-november-1938-z56o8
tech_team,250015,Defence Science Organisation,"skill 8 | munitions, mechanics, artillery, general_equipment, electronics | available 1930",Based on India's post-independence Defence Science Organisation and wartime technical-development needs.,Historical capability is consolidated and accelerated by independence; the institution is deliberately founded earlier than in real history.,https://www.drdo.gov.in/drdo/about-drdo
tech_team,250016,Atomic Research Directorate,"skill 8 | nuclear_physics, nuclear_engineering, mathematics, chemistry | available 1930",Builds on the prewar work of Saha and Bhabha and India's later organized atomic programme.,Historical capability is consolidated and accelerated by independence; the institution is deliberately founded earlier than in real history.,https://dae.gov.in/history/
tech_team,250017,Bharat Electronics Directorate,"skill 8 | electronics, management, technical_efficiency, mechanics | available 1930","Based on the later Bharat Electronics institution and prewar radio, valve and signals capability.",Historical capability is consolidated and accelerated by independence; the institution is deliberately founded earlier than in real history.,https://bel-india.in/history/
tech_team,250018,Indian Naval Design Bureau,"skill 7 | naval_training, small_taskforce_tactics, seamanship, naval_engineering, carrier_tactics | available 1930",Based on the later indigenous Directorate of Naval Design and established dockyard engineering.,Historical capability is consolidated and accelerated by independence; the institution is deliberately founded earlier than in real history.,https://www.indiannavy.nic.in/content/directorate-naval-design
