IND;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
250011;Frank Messervy's Field School;TT250011;5;1947;1970;decentralized_execution;small_unit_tactics;combined_arms_focus;infantry_focus;individual_courage;mountain_training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250012;No. 1 Squadron, Indian Air Force;TT250012;6;1930;1970;fighter_tactics;bomber_tactics;piloting;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250013;Walchand's Hindustan Aircraft;TT250013;7;1930;1970;fighter_design;bomber_design;aeronautics;aircraft_testing;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250014;M. Visvesvaraya's Planning Board;TT250014;8;1930;1970;industrial_engineering;management;technical_efficiency;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250015;S. S. Bhatnagar and the CSIR;TT250015;8;1930;1970;munitions;mechanics;artillery;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250016;Homi Bhabha's Atomic Research Group;TT250016;8;1930;1970;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250017;IISc Electronics Laboratory;TT250017;8;1930;1970;electronics;management;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250018;Katari's Indian Ocean Staff;TT250018;7;1930;1970;naval_training;small_taskforce_tactics;seamanship;naval_engineering;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250019;Cariappa-Thimayya Armoured School;TT250019;7;1930;1970;combined_arms_focus;small_unit_tactics;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250020;V. M. Ghatage Aeronautical Laboratory;TT250020;7;1930;1970;aeronautics;aircraft_testing;avionics;mathematics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250021;Mazagon-Garden Reach Design Board;TT250021;8;1930;1970;carrier_design;naval_engineering;technical_efficiency;naval_artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250022;Aspy Engineer's Fleet Air Arm;TT250022;7;1930;1970;carrier_tactics;naval_training;piloting;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250023;Katari's Monsoon Fleet Staff;TT250023;7;1930;1970;large_taskforce_tactics;small_taskforce_tactics;naval_training;seamanship;carrier_tactics;marine_training;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;x
250024;Visakhapatnam Submarine School;TT250024;6;1933;1970;submarine_tactics;small_taskforce_tactics;seamanship;naval_training;electronics;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250025;Subroto Mukerjee and the Air Staff;TT250025;8;1933;1970;fighter_tactics;bomber_tactics;piloting;centralized_execution;training;airborne_training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;x
250026;Thimayya Mechanised Warfare School;TT250026;8;1933;1970;vehicle_engineering;mechanics;combined_arms_focus;training;technical_efficiency;maneuver_tactics;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;x
250027;Quetta-Delhi Staff College;TT250027;8;1933;1970;large_unit_tactics;small_unit_tactics;combined_arms_focus;training;decentralized_execution;infantry_focus;mountain_training;maneuver_tactics;;;;;;;;;;;;;;;;;;;;;;;;;x
250028;Bhabha Bangalore Rocket Group;TT250028;8;1938;1970;rocketry;aeronautics;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250029;Bhabha and Tata Institute of Fundamental Research;TT250029;9;1944;1970;nuclear_physics;nuclear_engineering;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250030;Bose Maritime Signals Centre;TT250030;7;1935;1970;electronics;mathematics;naval_training;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250031;Bengal Chemical and Pharmaceutical Works;TT250031;5;1930;1970;medicine;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
