country;main color;leader language;Army Nationality Sprite;Model Nationality Picture ;Model Nationality Icon;Model Nationality Name;END
UC0;Yellow;ENG;MIN;;;;X
UC1;Yellow;ENG;MIN;;;;X
UC2;Yellow;ENG;MIN;;;;X
UC3;Yellow;ENG;MIN;;;;X
UC4;Yellow;ENG;MIN;;;;X
UC5;Yellow;ENG;MIN;;;;X
UC6;Yellow;ENG;MIN;;;;X
UC7;Yellow;ENG;MIN;;;;X
UC8;Yellow;ENG;MIN;;;;X
UC9;Yellow;ENG;MIN;;;;X
UD0;Yellow;ENG;MIN;;;;X
UD1;Yellow;ENG;MIN;;;;X
UD2;Yellow;ENG;MIN;;;;X
UD3;Yellow;ENG;MIN;;;;X
UD4;Yellow;ENG;MIN;;;;X
UD5;Yellow;ENG;MIN;;;;X
UD6;Yellow;ENG;MIN;;;;X
UD7;Yellow;ENG;MIN;;;;X
UD8;Yellow;ENG;MIN;;;;X
UD9;Yellow;ENG;MIN;;;;X
UE0;Yellow;ENG;MIN;;;;X
UE1;Yellow;ENG;MIN;;;;X
UE2;Yellow;ENG;MIN;;;;X
UE3;Yellow;ENG;MIN;;;;X
UE4;Yellow;ENG;MIN;;;;X
UE5;Yellow;ENG;MIN;;;;X
UE6;Yellow;ENG;MIN;;;;X
UE7;Yellow;ENG;MIN;;;;X
UE8;Yellow;ENG;MIN;;;;X
UE9;Yellow;ENG;MIN;;;;X
UF0;Yellow;ENG;MIN;;;;X
UF1;Yellow;ENG;MIN;;;;X
UF2;Yellow;ENG;MIN;;;;X
UF3;Yellow;ENG;MIN;;;;X
UF4;Yellow;ENG;MIN;;;;X
UF5;Yellow;ENG;MIN;;;;X
UF6;Yellow;ENG;MIN;;;;X
UF7;Yellow;ENG;MIN;;;;X
UF8;Yellow;ENG;MIN;;;;X
UF9;Yellow;ENG;MIN;;;;X
USN;DarkBlue;USA;USA;USA;;;X
UAU;LightGray;AST;AST;AST;AST;;X
UCH;Yellow;CHI;MIN;CHI;UCH;;X
UBO;Blue;FRA;FRA;FRA;;;X
UTC;Yellow;ROM;GER;GER;;;X
UGS;LightBlue;SWE;MIN;;;;X
UCS;UserColor5;USA;USA;USA;;;X
UIC;LightGreen;ENG;JAP;JAP;;;X
UPR;LightYellow;GER;GER;GER;;;X
UER;White;SOV;SOV;SOV;;;X
UTO;Green;TUR;MIN;;;;X
UIR;DarkYellow;ENG;ENG;;;;X
UTL;LightBrown;POR;USA;USA;;;X
UPS;LightOrange;JAP;JAP;JAP;;;X
UES;LightRed;ENG;ENG;;;;X
URO;DarkGreen;ITA;ITA;ITA;;;X
UAP;LightYellow;ENG;ENG;;;;X
UPE;LightYellow;ENG;ENG;;;;X
END;DarkGreen;ENG;ENG;;;;X
